word,type,age
alkeiskurssi,substantiivi,new
alkeislehti,substantiivi,old
alkeisvarsi,substantiivi,old
alkemisti,substantiivi,new
alkoholi,substantiivi,new
alkoholiprosentti,substantiivi,new
alkoholismi,substantiivi,new
alkoholisti,substantiivi,new
alkometri,substantiivi,new
alkovi,substantiivi,new
alkukieli,substantiivi,old
alkukoti,substantiivi,new
alkuperäiskieli,substantiivi,old
alkutalvi,substantiivi,old
alkuteksti,substantiivi,new
alkuvuosi,substantiivi,old
alkyyli,substantiivi,new
alkyyni,substantiivi,new
allatiivi,substantiivi,new
alleeli,substantiivi,new
allergeeni,substantiivi,new
alli,substantiivi,new
allianssi,substantiivi,new
alligaattori,substantiivi,new
allofoni,substantiivi,new
allografi,substantiivi,new
allokointi,substantiivi,new
allomorfi,substantiivi,new
allotrooppi,substantiivi,new
allyyli,substantiivi,new
almandiini,substantiivi,new
almoravidi,substantiivi,new
aloituslyönti,substantiivi,new
alpi,substantiivi,old
alpinismi,substantiivi,new
alpinisti,substantiivi,new
alppiorvokki,substantiivi,new
alppitähti,substantiivi,old
altimetri,substantiivi,new
altitudi,substantiivi,new
altruismi,substantiivi,new
altruisti,substantiivi,new
alttari,substantiivi,new
alttosaksofoni,substantiivi,new
alttoääni,substantiivi,old
aluemeri,substantiivi,old
aluevesi,substantiivi,old
alumiini,substantiivi,new
alumiinioksidi,substantiivi,new
alumiinipaperi,substantiivi,new
alumiinipronssi,substantiivi,new
aluminaatti,substantiivi,new
aluminointi,substantiivi,new
alumni,substantiivi,new
aluskasvi,substantiivi,new
alvari,substantiivi,new
alvejuuri,substantiivi,old
alvejuurikasvi,substantiivi,new
alveoli,substantiivi,new
alveoliitti,substantiivi,new
amalgaami,substantiivi,new
amanuenssi,substantiivi,new
amarantti,substantiivi,new
amatsoni,substantiivi,new
amatööri,substantiivi,new
amauroosi,substantiivi,new
ambivalenssi,substantiivi,new
ambivalentti,adjektiivi,new
ambulanssi,substantiivi,new
ameloblasti,substantiivi,new
amerikanenglanti,substantiivi,new
amerikanhakki,substantiivi,new
amerikannakkeli,substantiivi,new
amerikansipi,substantiivi,new
amerikansirri,substantiivi,new
amerikansuomi,substantiivi,old
amerikantaivaanvuohi,substantiivi,old
amerikantikli,substantiivi,new
amerikantilhi,substantiivi,new
amerikantylli,substantiivi,new
ametisti,substantiivi,new
amfetamiini,substantiivi,new
amfiboliitti,substantiivi,new
amfiteatteri,substantiivi,new
amidi,substantiivi,new
amiini,substantiivi,new
amiraali,substantiivi,new
amlodipiini,substantiivi,new
ammatti,substantiivi,new
ammattikieli,substantiivi,old
ammattislangi,substantiivi,new
ammattitauti,substantiivi,new
ammoniakki,substantiivi,new
ammoniitti,substantiivi,new
ammoniumkloridi,substantiivi,new
amorinkaari,substantiivi,old
ampeeri,substantiivi,new
ampeerimittari,substantiivi,new
ampeerisekunti,substantiivi,new
ampeeritunti,substantiivi,new
ampiaisyrtti,substantiivi,new
amplitudi,substantiivi,new
amppeli,substantiivi,new
ampulli,substantiivi,new
amputointi,substantiivi,new
amuletti,substantiivi,new
anaali,substantiivi,new
anaaliseksi,substantiivi,new
anagrammi,substantiivi,new
anakronismi,substantiivi,new
analfabeetti,substantiivi,new
analgeetti,substantiivi,new
analogi,substantiivi,new
analysaattori,substantiivi,new
analysointi,substantiivi,new
analyysi,substantiivi,new
anamneesi,substantiivi,new
ananaskasvi,substantiivi,new
anapesti,substantiivi,new
anarkismi,substantiivi,new
anarkisti,substantiivi,new
anastrofi,substantiivi,new
anatomi,substantiivi,new
andienkondori,substantiivi,new
androgeeni,substantiivi,new
androgyyni,substantiivi,new
androidi,substantiivi,new
andropaussi,substantiivi,new
anekdootti,substantiivi,new
anemometri,substantiivi,new
anesteetti,substantiivi,new
anestesialääkäri,substantiivi,new
anestesiologi,substantiivi,new
anfangi,substantiivi,new
angiogeneesi,substantiivi,new
angiotensiini,substantiivi,new
angli,substantiivi,new
anglikaani,substantiivi,new
anglismi,substantiivi,new
anglofiili,substantiivi,new
anglosaksi,substantiivi,new
angsti,substantiivi,new
anhydridi,substantiivi,new
anhydriitti,substantiivi,new
aniliini,substantiivi,new
animaattori,substantiivi,new
animismi,substantiivi,new
animisti,substantiivi,new
anioni,substantiivi,new
anislikööri,substantiivi,new
ankkuri,substantiivi,new
ankkurihissi,substantiivi,new
ankkurikettinki,substantiivi,new
ankkuriköysi,substantiivi,old
ankkurointi,substantiivi,new
anksiolyytti,substantiivi,new
annaali,substantiivi,new
annosmittari,substantiivi,new
anodi,substantiivi,new
anonymiteetti,substantiivi,new
anonyymi,adjektiivi,new
anopinkieli,substantiivi,old
anoppi,substantiivi,new
anorakki,substantiivi,new
ansari,substantiivi,new
ansatsi,substantiivi,new
ansiomerkki,substantiivi,new
antagonismi,substantiivi,new
antagonisti,substantiivi,new
antasidi,substantiivi,new
antenni,substantiivi,new
antennikrotti,substantiivi,new
anthelmintti,substantiivi,new
anti,substantiivi,new
antibiootti,substantiivi,new
antidootti,substantiivi,new
antielektroni,substantiivi,new
antifeminismi,substantiivi,new
antihistamiini,substantiivi,new
antiikki,substantiivi,new
antikoagulantti,substantiivi,new
antikvaari,substantiivi,new
antikvariaatti,substantiivi,new
antikvarkki,substantiivi,new
antilooppi,substantiivi,new
antimilitarismi,substantiivi,new
antimoni,substantiivi,new
antioksidantti,substantiivi,new
antiperspirantti,substantiivi,new
antipodi,substantiivi,new
antiprotoni,substantiivi,new
antisankari,substantiivi,new
antisemiitti,substantiivi,new
antisemitismi,substantiivi,new
antiteesi,substantiivi,new
antonyymi,substantiivi,new
antrasiitti,substantiivi,new
antropofagi,substantiivi,new
antropoidi,substantiivi,new
antropologi,substantiivi,new
antropomorfismi,substantiivi,new
anturi,substantiivi,new
aoristi,substantiivi,new
aortiitti,substantiivi,new
apanaasi,substantiivi,new
aparaatti,substantiivi,new
apassi,substantiivi,new
apatiitti,substantiivi,new
aperitiivi,substantiivi,new
apheli,substantiivi,new
apinointi,substantiivi,new
aplodi,substantiivi,new
apofyysi,substantiivi,new
apokalypsi,substantiivi,new
apoptoosi,substantiivi,new
apostoli,substantiivi,new
apostolinkyyti,substantiivi,new
apostrofi,substantiivi,new
apoteoosi,substantiivi,new
apotti,substantiivi,new
apparaatti,substantiivi,new
apparatsikki,substantiivi,new
appellatiivi,substantiivi,new
appelsiini,substantiivi,new
appelsiinimarmeladi,substantiivi,new
appelsiininkuori,substantiivi,old
appi,substantiivi,old
applikointi,substantiivi,new
apportti,substantiivi,new
aprikointi,substantiivi,new
aprikoosi,substantiivi,new
aprilli,substantiivi,new
apteekkari,substantiivi,new
apteekki,substantiivi,new
apumoottori,substantiivi,new
apuri,substantiivi,new
apuverbi,substantiivi,new
arabeski,substantiivi,new
arabi,substantiivi,new
arabikumi,substantiivi,new
araliakasvi,substantiivi,new
arbuusi,substantiivi,new
arenti,substantiivi,new
areometri,substantiivi,new
aresti,substantiivi,new
argumentointi,substantiivi,new
argumentti,substantiivi,new
argusfasaani,substantiivi,new
aristokraatti,substantiivi,new
aristotelismi,substantiivi,new
arkadi,substantiivi,new
arkaismi,substantiivi,new
arkeologi,substantiivi,new
arki,substantiivi,old
arkikieli,substantiivi,old
arkistointi,substantiivi,new
arkki,substantiivi,new
arkkiatri,substantiivi,new
arkkibakteeri,substantiivi,new
arkkienkeli,substantiivi,new
arkkitehti,substantiivi,new
arkkitehtuuri,substantiivi,new
arkkitraavi,substantiivi,new
arkkityyppi,substantiivi,new
arkontti,substantiivi,new
armanjakki,substantiivi,new
arnikki,substantiivi,new
aromi,substantiivi,new
arpaonni,substantiivi,old
arpapeli,substantiivi,new
arpi,substantiivi,old
arrakki,substantiivi,new
arroganssi,substantiivi,new
arrondissementti,substantiivi,new
arrowjuuri,substantiivi,old
arseeni,substantiivi,new
arseenitrioksidi,substantiivi,new
arsenaatti,substantiivi,new
arsenikki,substantiivi,new
arsiini,substantiivi,new
artefakti,substantiivi,new
arteriitti,substantiivi,new
arterioskleroosi,substantiivi,new
artesaani,substantiivi,new
artikkeli,substantiivi,new
artikulointi,substantiivi,new
artisti,substantiivi,new
artriitti,substantiivi,new
artroosi,substantiivi,new
arviointi,substantiivi,new
arvonimi,substantiivi,old
arvopaperi,substantiivi,new
arvopaperipörssi,substantiivi,new
asbesti,substantiivi,new
asbestoosi,substantiivi,new
asekaappi,substantiivi,new
aselaji,substantiivi,new
asemakomendantti,substantiivi,new
asemalaituri,substantiivi,new
asemointi,substantiivi,new
asessori,substantiivi,new
asetaatti,substantiivi,new
asetaldehydi,substantiivi,new
asetoni,substantiivi,new
asetti,substantiivi,new
asetyleeni,substantiivi,new
aseveli,substantiivi,old
asfaltointi,substantiivi,new
asfaltti,substantiivi,new
asiapaperi,substantiivi,new
asiateksti,substantiivi,new
asidoosi,substantiivi,new
asiointi,substantiivi,new
askarointi,substantiivi,new
askeesi,substantiivi,new
askeetti,substantiivi,new
askelmerkki,substantiivi,new
askelmittari,substantiivi,new
asketismi,substantiivi,new
aski,substantiivi,new
aspartaami,substantiivi,new
aspartaattiaminotransferaasi,substantiivi,new
aspekti,substantiivi,new
aspergilloosi,substantiivi,new
aspi,substantiivi,new
aspiriini,substantiivi,new
assami,substantiivi,new
assimilointi,substantiivi,new
assistentti,substantiivi,new
assosiaatiolaki,substantiivi,new
assosiointi,substantiivi,new
astaatti,substantiivi,new
astatiini,substantiivi,new
asteekki,substantiivi,new
astenosfääri,substantiivi,new
asteri,substantiivi,new
asterikasvi,substantiivi,new
asteriski,substantiivi,new
asterismi,substantiivi,new
asteroidi,substantiivi,new
astiakaappi,substantiivi,new
astiankuivauskaappi,substantiivi,new
astrakaani,substantiivi,new
astrologi,substantiivi,new
astronautti,substantiivi,new
astronomi,substantiivi,new
asukki,substantiivi,new
asumistuki,substantiivi,old
asvaltointi,substantiivi,new
asvaltti,substantiivi,new
asymptootti,substantiivi,new
atamaani,substantiivi,new
atavismi,substantiivi,new
ateismi,substantiivi,new
ateisti,substantiivi,new
ateriointi,substantiivi,new
ateroskleroosi,substantiivi,new
atleetti,substantiivi,new
atmosfääri,substantiivi,new
atolli,substantiivi,new
atollikäki,substantiivi,old
atomi,substantiivi,new
atomimalli,substantiivi,new
atomipommi,substantiivi,new
atomireaktori,substantiivi,new
atomismi,substantiivi,new
atropiini,substantiivi,new
atsidi,substantiivi,new
atsimuutti,substantiivi,new
atsteekki,substantiivi,new
attentaatti,substantiivi,new
attosekunti,substantiivi,new
attribuutti,substantiivi,new
aubergiini,substantiivi,new
audienssi,substantiivi,new
audiometri,substantiivi,new
auditointi,substantiivi,new
auguuri,substantiivi,new
auksiini,substantiivi,new
auktorisointi,substantiivi,new
auktoriteetti,substantiivi,new
auktorointi,substantiivi,new
aurausmerkki,substantiivi,new
aureomysiini,substantiivi,new
aurinkokansi,substantiivi,old
aurinkopaneeli,substantiivi,new
aurinkotuoli,substantiivi,new
aurinkotuuli,substantiivi,old
aurinkovuosi,substantiivi,old
auskultointi,substantiivi,new
aussi,substantiivi,new
austeniitti,substantiivi,new
australianenglanti,substantiivi,new
autismi,substantiivi,new
autisti,substantiivi,new
autodidakti,substantiivi,new
autokansi,substantiivi,old
autoklaavi,substantiivi,new
autokraatti,substantiivi,new
autoktoni,substantiivi,new
autolyysi,substantiivi,new
